Metric,With distillation,Without distillation
Success AUROC,0.9964 ± 0.0012,0.9940 ± 0.0009
Family Acc.,0.486 ± 0.022,0.4978 ± 0.0108
Quality RMSE,0.1481 ± 0.0011,0.1496 ± 0.0025
Size RMSE,0.0036 ± 0.0001,0.0035 ± 0.0002
Action Acc. (window),0.9470 ± 0.0032,0.9481 ± 0.0024
Trust RMSE (window),0.0478 ± 0.0016,0.0477 ± 0.0027
Robust Success AUROC,0.9964 ± 0.0017,0.9952 ± 0.0008
Robust Family Acc.,0.4785 ± 0.0160,0.5000 ± 0.0149
Robust Quality RMSE,0.1508 ± 0.0016,0.1520 ± 0.0025
Robust Size RMSE,0.0036 ± 0.0001,0.0035 ± 0.0002
Robust Action Acc. (window),0.9419 ± 0.0047,0.9432 ± 0.0026
Robust Trust RMSE (window),0.2100 ± 0.0022,0.2093 ± 0.0003
